transaction_date,external_store_id,external_product_id,total_daily_quantity,season_category,holiday_event,aisle
2023-08-07,2,1,1.0,Rainy,None,Meat & Seafood
2023-08-07,5,16,1.0,Rainy,None,Beverages
2023-08-08,4,2,5.0,Rainy,None,Bakery
2023-08-08,7,3,5.0,Rainy,None,Dairy
2023-08-08,8,5,4.0,Rainy,None,Beverages
2023-08-08,9,15,1.0,Rainy,None,Meat & Seafood
2023-08-11,1,18,3.0,Rainy,None,Bakery
2023-08-11,2,13,3.0,Rainy,None,Beverages
2023-08-12,2,11,3.0,Rainy,None,Beverages
2023-08-12,4,14,5.0,Rainy,None,Snacks & Candy
2023-08-12,5,9,1.0,Rainy,None,Health & Wellness
2023-08-12,8,10,2.0,Rainy,None,Health & Wellness
2023-08-13,5,15,3.0,Rainy,None,Health & Wellness
2023-08-13,6,13,6.0,Rainy,None,Health & Wellness
2023-08-14,3,18,1.0,Rainy,None,Health & Wellness
2023-08-14,5,14,4.0,Rainy,None,Canned Goods
2023-08-14,5,15,5.0,Rainy,None,Health & Wellness
2023-08-14,7,11,3.0,Rainy,None,Meat & Seafood
2023-08-14,8,2,3.0,Rainy,None,Frozen Foods
2023-08-16,1,8,2.0,Rainy,None,Snacks & Candy
2023-08-16,1,14,5.0,Rainy,None,Frozen Foods
2023-08-16,7,4,4.0,Rainy,None,Produce
2023-08-17,2,15,5.0,Rainy,None,Snacks & Candy
2023-08-17,6,3,2.0,Rainy,None,Health & Wellness
2023-08-17,7,18,2.0,Rainy,None,Snacks & Candy
2023-08-18,9,13,5.0,Rainy,None,Snacks & Candy
2023-08-19,1,6,5.0,Rainy,None,Personal Care
2023-08-19,1,11,3.0,Rainy,None,Canned Goods
2023-08-19,2,8,1.0,Rainy,None,Personal Care
2023-08-19,6,17,5.0,Rainy,None,Dairy
2023-08-19,8,12,2.0,Rainy,None,Canned Goods
2023-08-19,8,18,5.0,Rainy,None,Produce
2023-08-19,9,16,5.0,Rainy,None,Household Items
2023-08-20,7,12,4.0,Rainy,None,Dairy
2023-08-21,5,10,4.0,Rainy,None,Household Items
2023-08-21,6,18,5.0,Rainy,None,Dairy
2023-08-23,4,5,2.0,Rainy,None,Health & Wellness
2023-08-23,4,12,4.0,Rainy,None,Personal Care
2023-08-24,1,1,3.0,Rainy,None,Bakery
2023-08-24,3,13,2.0,Rainy,None,Produce
2023-08-25,7,6,2.0,Rainy,None,Produce
2023-08-26,1,1,2.0,Rainy,None,Produce
2023-08-26,1,18,4.0,Rainy,None,Canned Goods
2023-08-26,5,4,3.0,Rainy,None,Dairy
2023-08-27,1,18,2.0,Rainy,None,Snacks & Candy
2023-08-27,4,2,5.0,Rainy,None,Beverages
2023-08-27,6,9,1.0,Rainy,None,Frozen Foods
2023-08-27,7,15,6.0,Rainy,None,Bakery
2023-08-28,8,17,2.0,Rainy,None,Beverages
2023-08-29,1,2,4.0,Rainy,None,Meat & Seafood
2023-08-30,2,4,1.0,Rainy,None,Frozen Foods
2023-08-31,3,4,1.0,Rainy,None,Canned Goods
2023-08-31,4,3,3.0,Rainy,None,Dairy
2023-08-31,5,14,2.0,Rainy,None,Frozen Foods
2023-08-31,6,7,5.0,Rainy,None,Beverages
2023-08-31,7,7,2.0,Rainy,None,Frozen Foods
2023-09-01,1,9,5.0,Rainy,None,Health & Wellness
2023-09-01,1,11,4.0,Rainy,None,Beverages
2023-09-01,7,15,3.0,Rainy,None,Bakery
2023-09-03,5,11,1.0,Rainy,None,Personal Care
2023-09-03,8,3,4.0,Rainy,None,Personal Care
2023-09-04,7,9,1.0,Rainy,None,Beverages
2023-09-04,8,6,5.0,Rainy,None,Beverages
2023-09-05,1,5,3.0,Rainy,None,Snacks & Candy
2023-09-05,5,16,3.0,Rainy,None,Beverages
2023-09-05,8,3,2.0,Rainy,None,Beverages
2023-09-06,2,6,1.0,Rainy,None,Beverages
2023-09-06,2,17,4.0,Rainy,None,Frozen Foods
2023-09-07,7,12,1.0,Rainy,None,Health & Wellness
2023-09-08,1,10,3.0,Rainy,None,Canned Goods
2023-09-08,5,4,2.0,Rainy,None,Snacks & Candy
2023-09-09,4,18,4.0,Rainy,None,Snacks & Candy
2023-09-09,7,4,4.0,Rainy,None,Health & Wellness
2023-09-09,9,15,5.0,Rainy,None,Produce
2023-09-10,5,17,4.0,Rainy,None,Meat & Seafood
2023-09-11,2,9,5.0,Rainy,None,Beverages
2023-09-11,4,1,2.0,Rainy,None,Frozen Foods
2023-09-11,5,13,3.0,Rainy,None,Canned Goods
2023-09-11,5,18,1.0,Rainy,None,Bakery
2023-09-11,6,11,4.0,Rainy,None,Beverages
2023-09-11,6,16,3.0,Rainy,None,Frozen Foods
2023-09-11,8,8,4.0,Rainy,None,Health & Wellness
2023-09-11,8,13,3.0,Rainy,None,Meat & Seafood
2023-09-11,9,15,1.0,Rainy,None,Frozen Foods
2023-09-12,7,10,4.0,Rainy,None,Snacks & Candy
2023-09-13,9,8,5.0,Rainy,None,Household Items
