transaction_date,external_store_id,external_product_id,total_daily_quantity,season_category,holiday_event,aisle
2026-01-01,9001,9001,1.0,Amihan,New Year,Snacks
2026-01-02,9001,9001,0.0,Amihan,New Year,Snacks
2026-01-03,9001,9001,0.0,Amihan,None,Snacks
2026-01-04,9001,9001,0.0,Amihan,None,Snacks
2026-01-05,9001,9001,0.0,Amihan,None,Snacks
2026-01-06,9001,9001,0.0,Amihan,None,Snacks
2026-01-07,9001,9001,0.0,Amihan,None,Snacks
2026-01-08,9001,9001,0.0,Amihan,None,Snacks
2026-01-09,9001,9001,0.0,Amihan,None,Snacks
2026-01-10,9001,9001,2.0,Amihan,None,Snacks
2026-01-11,9001,9001,0.0,Amihan,None,Snacks
2026-01-12,9001,9001,0.0,Amihan,None,Snacks
2026-01-13,9001,9001,0.0,Amihan,None,Snacks
2026-01-14,9001,9001,0.0,Amihan,None,Snacks
2026-01-15,9001,9001,5.0,Amihan,None,Snacks
2026-01-16,9001,9001,0.0,Amihan,None,Snacks
2026-01-17,9001,9001,0.0,Amihan,None,Snacks
2026-01-18,9001,9001,0.0,Amihan,None,Snacks
2026-01-19,9001,9001,0.0,Amihan,None,Snacks
2026-01-20,9001,9001,0.0,Amihan,None,Snacks
2026-01-21,9001,9001,0.0,Amihan,None,Snacks
2026-01-22,9001,9001,0.0,Amihan,None,Snacks
2026-01-23,9001,9001,0.0,Amihan,None,Snacks
2026-01-24,9001,9001,0.0,Amihan,None,Snacks
2026-01-25,9001,9001,0.0,Amihan,None,Snacks
2026-01-26,9001,9001,5.0,Amihan,None,Snacks
2026-01-27,9001,9001,2.0,Amihan,None,Snacks
2026-01-28,9001,9001,0.0,Amihan,None,Snacks
2026-01-29,9001,9001,0.0,Amihan,None,Snacks
2026-01-30,9001,9001,5.0,Amihan,None,Snacks
2026-01-31,9001,9001,2.0,Amihan,None,Snacks
2026-02-01,9001,9001,0.0,Amihan,None,Snacks
2026-02-02,9001,9001,0.0,Amihan,None,Snacks
2026-02-03,9001,9001,0.0,Amihan,None,Snacks
2026-02-04,9001,9001,0.0,Amihan,None,Snacks
2026-02-05,9001,9001,0.0,Amihan,None,Snacks
2026-02-06,9001,9001,0.0,Amihan,None,Snacks
2026-02-07,9001,9001,0.0,Amihan,None,Snacks
2026-02-08,9001,9001,2.0,Amihan,None,Snacks
2026-02-09,9001,9001,0.0,Amihan,None,Snacks
2026-02-10,9001,9001,3.0,Amihan,None,Snacks
2026-02-11,9001,9001,0.0,Amihan,None,Snacks
2026-02-12,9001,9001,1.0,Amihan,None,Snacks
2026-02-13,9001,9001,0.0,Amihan,Valentines,Snacks
2026-02-14,9001,9001,0.0,Amihan,Valentines,Snacks
2026-02-15,9001,9001,0.0,Amihan,Valentines,Snacks
2026-02-16,9001,9001,0.0,Amihan,None,Snacks
2026-02-17,9001,9001,0.0,Amihan,None,Snacks
2026-02-18,9001,9001,2.0,Amihan,None,Snacks
2026-02-19,9001,9001,0.0,Amihan,None,Snacks
2026-02-20,9001,9001,0.0,Amihan,None,Snacks
2026-02-21,9001,9001,3.0,Amihan,None,Snacks
2026-02-22,9001,9001,0.0,Amihan,None,Snacks
2026-02-23,9001,9001,0.0,Amihan,None,Snacks
2026-02-24,9001,9001,0.0,Amihan,None,Snacks
2026-02-25,9001,9001,0.0,Amihan,None,Snacks
2026-02-26,9001,9001,0.0,Amihan,None,Snacks
2026-02-27,9001,9001,5.0,Amihan,None,Snacks
2026-02-28,9001,9001,0.0,Amihan,None,Snacks
2026-03-01,9001,9001,0.0,Summer,None,Snacks
2026-03-02,9001,9001,0.0,Summer,None,Snacks
2026-03-03,9001,9001,0.0,Summer,None,Snacks
