category_id,latitude,longitude,hour,day_of_week,search_count,demand
101,14.6406,121.0100,8,1,10,12
101,14.6406,121.0100,12,1,15,18
101,14.6406,121.0100,18,1,25,30
101,14.6406,121.0100,20,5,30,36
101,14.6500,121.0200,18,5,20,24
102,14.6406,121.0100,8,2,8,10
102,14.6406,121.0100,13,2,12,15
102,14.6406,121.0100,18,2,22,27
102,14.6500,121.0200,19,5,28,34
102,14.6500,121.0200,21,6,18,22
103,14.6406,121.0100,9,3,7,9
103,14.6406,121.0100,14,3,14,17
103,14.6406,121.0100,18,3,24,29
103,14.6500,121.0200,18,6,26,31
103,14.6500,121.0200,20,6,32,38
104,14.6406,121.0100,10,4,6,8
104,14.6406,121.0100,15,4,11,14
104,14.6406,121.0100,19,4,21,25
104,14.6500,121.0200,19,6,27,33
104,14.6500,121.0200,21,6,20,25
105,14.6406,121.0100,8,5,9,11
105,14.6406,121.0100,12,5,16,19
105,14.6406,121.0100,18,5,29,35
105,14.6500,121.0200,20,6,31,37
105,14.6500,121.0200,22,6,19,23
