category_id,search_lat,search_lng,hour,day_of_week,actual_demand,predicted_demand,prediction_error
3,14.6431,121.0647,16,5,1,1.2266666666666668,-0.2266666666666668
5,14.64112,121.0661,21,6,1,1.3041666666666665,-0.3041666666666665
6,14.6431,121.0647,19,5,1,1.325,-0.32499999999999996
1,14.64112,121.0661,10,6,1,1.085,-0.08499999999999996
3,14.6389,121.06385,12,6,1,1.1683333333333332,-0.16833333333333322
2,14.6389,121.06385,22,0,1,1.075,-0.07499999999999996
4,14.63985,121.0649,20,4,1,1.0599012605042017,-0.05990126050420175
4,14.63985,121.0649,15,0,1,1.0805555555555555,-0.08055555555555549
6,14.6431,121.0647,16,4,1,1.1639285714285714,-0.16392857142857142
4,14.64067907,121.0656502,17,3,1,1.1825815018315018,-0.1825815018315018
2,14.64205,121.06725,19,4,1,1.6479507575757575,-0.6479507575757575
4,14.6389,121.06385,12,5,1,1.3237878787878787,-0.32378787878787874
3,14.64112,121.0661,19,0,3,1.3172083333333333,1.6827916666666667
5,14.6431,121.0647,17,6,1,1.4977777777777777,-0.49777777777777765
1,14.63985,121.0649,19,1,1,1.7135119047619047,-0.7135119047619047
5,14.6431,121.0647,15,2,1,1.5,-0.5
1,14.64205,121.06725,10,1,1,1.0,0.0
2,14.6431,121.0647,17,4,1,1.2262460317460318,-0.22624603174603175
3,14.64112,121.0661,11,1,1,1.452938725490196,-0.452938725490196
2,14.63985,121.0649,9,4,1,1.0233333333333332,-0.023333333333333206
5,14.63985,121.0649,20,4,3,1.045,1.955
2,14.63985,121.0649,17,3,1,1.978659451659452,-0.978659451659452
5,14.6431,121.0647,19,5,2,1.09625,0.90375
2,14.64112,121.0661,18,2,1,1.3317698412698413,-0.3317698412698413
3,14.64205,121.06725,19,5,1,1.59770670995671,-0.5977067099567099
1,14.6431,121.0647,19,2,1,1.5700860389610392,-0.5700860389610392
1,14.6431,121.0647,21,6,1,1.8921428571428571,-0.8921428571428571
1,14.6389,121.06385,22,1,2,1.025,0.9750000000000001
1,14.64067907,121.0656502,18,0,1,1.3469345238095238,-0.34693452380952383
3,14.64205,121.06725,20,3,1,1.5940714285714288,-0.5940714285714288
5,14.64067907,121.0656502,20,0,1,1.055,-0.05499999999999994
6,14.64112,121.0661,14,6,1,1.005,-0.004999999999999893
4,14.63985,121.0649,12,1,2,2.07253666921314,-0.07253666921313995
3,14.63985,121.0649,14,6,1,1.3024444444444443,-0.3024444444444443
3,14.64205,121.06725,19,2,2,1.9458555194805192,0.05414448051948084
1,14.64112,121.0661,20,4,1,2.53375,-1.53375
3,14.64112,121.0661,13,4,1,1.043655303030303,-0.04365530303030307
1,14.64067907,121.0656502,18,5,2,1.36875,0.6312500000000001
2,14.63985,121.0649,9,3,1,1.0,0.0
1,14.64067907,121.0656502,9,3,2,1.02,0.98
3,14.64067907,121.0656502,14,0,1,1.099,-0.09899999999999998
5,14.64205,121.06725,19,0,1,1.05,-0.050000000000000044
4,14.64112,121.0661,18,6,1,1.900060606060606,-0.900060606060606
6,14.64205,121.06725,19,1,1,1.2,-0.19999999999999996
3,14.6389,121.06385,7,3,1,1.01,-0.010000000000000009
4,14.6431,121.0647,15,2,1,1.2396875,-0.23968750000000005
2,14.6389,121.06385,12,5,1,1.2850865800865803,-0.2850865800865803
2,14.6389,121.06385,8,2,1,1.03,-0.030000000000000027
1,14.63985,121.0649,12,6,1,1.2856845238095238,-0.2856845238095238
5,14.64112,121.0661,19,6,3,1.3233333333333333,1.6766666666666667
5,14.6431,121.0647,17,3,1,1.5113076923076922,-0.5113076923076922
5,14.64112,121.0661,18,2,1,1.3225,-0.3225
6,14.63985,121.0649,17,6,1,1.37125,-0.3712500000000001
1,14.64112,121.0661,16,5,2,1.6002777777777777,0.3997222222222223
4,14.63985,121.0649,19,4,1,1.0034166666666666,-0.0034166666666666234
3,14.64205,121.06725,22,4,1,1.05,-0.050000000000000044
3,14.64067907,121.0656502,7,2,1,1.0,0.0
5,14.6389,121.06385,11,3,1,1.4553333333333334,-0.45533333333333337
3,14.6431,121.0647,15,1,2,1.2480555555555555,0.7519444444444445
3,14.6389,121.06385,8,5,1,1.145,-0.14500000000000002
1,14.63985,121.0649,10,3,1,1.015,-0.014999999999999902
2,14.64205,121.06725,8,1,1,1.0,0.0
1,14.64205,121.06725,16,4,1,1.4434027777777778,-0.4434027777777778
1,14.64205,121.06725,18,3,1,1.9024900793650794,-0.9024900793650794
2,14.63985,121.0649,17,5,3,1.3577521645021648,1.6422478354978352
1,14.64112,121.0661,19,5,4,2.1936666666666667,1.8063333333333333
4,14.64205,121.06725,9,5,1,1.03,-0.030000000000000027
5,14.64205,121.06725,14,4,1,1.0075,-0.007500000000000062
1,14.64067907,121.0656502,10,2,2,1.02,0.98
2,14.64205,121.06725,18,0,1,1.2719484126984126,-0.27194841269841263
2,14.6431,121.0647,22,0,1,1.28,-0.28
1,14.64067907,121.0656502,21,2,2,1.07,0.9299999999999999
2,14.63985,121.0649,16,2,1,1.26875,-0.26875000000000004
5,14.6389,121.06385,10,3,1,1.04,-0.040000000000000036
2,14.6431,121.0647,17,2,2,1.3042619047619044,0.6957380952380956
2,14.64067907,121.0656502,12,0,1,1.043922619047619,-0.04392261904761896
4,14.64205,121.06725,20,1,1,1.395,-0.395
6,14.6389,121.06385,8,0,1,1.045,-0.04499999999999993
1,14.6389,121.06385,18,6,3,2.165,0.835
1,14.64067907,121.0656502,12,5,1,1.1157830086580087,-0.11578300865800872
6,14.63985,121.0649,20,6,1,1.01,-0.010000000000000009
2,14.64112,121.0661,8,3,2,1.0,1.0
2,14.64067907,121.0656502,13,5,3,1.0675873870281765,1.9324126129718235
1,14.6431,121.0647,10,0,1,1.0,0.0
1,14.6431,121.0647,17,1,1,1.8411190476190478,-0.8411190476190478
4,14.6389,121.06385,21,5,1,1.524591736694678,-0.524591736694678
2,14.64205,121.06725,19,3,2,1.4568749999999997,0.5431250000000003
3,14.6389,121.06385,11,2,1,1.0375,-0.03750000000000009
1,14.64112,121.0661,17,2,1,1.3790238095238094,-0.37902380952380943
4,14.64112,121.0661,14,1,1,1.025,-0.02499999999999991
2,14.64112,121.0661,10,1,1,1.0,0.0
2,14.6389,121.06385,22,4,1,1.189,-0.18900000000000006
6,14.64205,121.06725,18,4,1,1.403125,-0.40312499999999996
1,14.6431,121.0647,11,5,1,1.197168831168831,-0.1971688311688311
3,14.63985,121.0649,17,3,2,1.2934210858585857,0.7065789141414143
1,14.64067907,121.0656502,13,6,2,1.1442982456140351,0.8557017543859649
1,14.6431,121.0647,18,6,1,2.08,-1.08
1,14.6389,121.06385,11,2,1,1.507573051948052,-0.5075730519480519
2,14.63985,121.0649,19,3,1,1.4350609668109668,-0.43506096681096684
2,14.6389,121.06385,13,6,1,1.1845833333333333,-0.18458333333333332
5,14.64205,121.06725,13,0,1,1.415,-0.41500000000000004
4,14.6389,121.06385,15,5,1,1.2425,-0.24249999999999994
2,14.6389,121.06385,7,2,1,1.015,-0.014999999999999902
3,14.64205,121.06725,22,3,1,1.075,-0.07499999999999996
3,14.64112,121.0661,17,0,1,1.085,-0.08499999999999996
2,14.63985,121.0649,18,5,1,2.0972118983957215,-1.0972118983957215
2,14.6389,121.06385,12,1,1,1.5088630952380953,-0.5088630952380953
3,14.6389,121.06385,19,5,2,2.007409090909091,-0.007409090909090921
3,14.6389,121.06385,21,2,2,1.259583778966132,0.7404162210338681
2,14.64205,121.06725,15,5,1,1.0825,-0.08250000000000002
3,14.6431,121.0647,22,0,1,1.12,-0.1200000000000001
3,14.64205,121.06725,19,4,1,1.900992424242424,-0.9009924242424241
2,14.63985,121.0649,20,3,1,1.228340909090909,-0.22834090909090898
1,14.63985,121.0649,9,5,2,1.46,0.54
1,14.64067907,121.0656502,17,5,1,1.46875,-0.46875
1,14.63985,121.0649,15,5,2,1.22,0.78
5,14.64067907,121.0656502,19,3,1,1.148932951106864,-0.148932951106864
2,14.6389,121.06385,19,5,2,2.363886363636363,-0.3638863636363632
4,14.63985,121.0649,8,0,1,1.03,-0.030000000000000027
1,14.64205,121.06725,12,5,1,1.9217261904761904,-0.9217261904761904
2,14.6431,121.0647,14,6,1,1.3634649122807019,-0.3634649122807019
2,14.64067907,121.0656502,22,1,1,1.240909090909091,-0.24090909090909096
