store_id,inventory_id,prev_day_sales,prev_week_sales,rolling_7d,rolling_30d,trend,day_of_week,month,season_category_Rainy,holiday_event_Back to School,holiday_event_None,actual_demand,predicted_demand,prediction_error
3,66,0.0,0.0,0.0,3.0,-1.0,3,8,True,False,True,0.0,0,0.0
3,53,0.0,0.0,0.0,4.0,-1.0,3,8,True,False,True,0.0,0,0.0
3,78,0.0,0.0,0.0,4.0,-1.0,3,8,True,True,False,3.0,0,3.0
1,4,0.0,0.0,2.0,5.0,-0.3333333333333333,3,8,True,True,False,0.0,0,0.0
3,74,0.0,3.0,3.0,4.0,0.0,4,8,True,True,False,0.0,0,0.0
3,78,3.0,0.0,3.0,7.0,0.0,4,8,True,True,False,0.0,1,1.0
1,1,0.0,3.0,3.0,3.0,0.0,4,8,True,True,False,0.0,0,0.0
3,66,0.0,0.0,0.0,3.0,-1.0,4,8,True,False,True,0.0,1,1.0
3,65,0.0,0.0,0.0,5.0,-1.0,4,8,True,True,False,0.0,1,1.0
1,17,0.0,1.0,1.0,29.0,0.0,4,8,True,True,False,0.0,0,0.0
3,53,0.0,0.0,0.0,4.0,-1.0,4,8,True,False,True,0.0,1,1.0
2,25,0.0,0.0,0.0,5.0,-1.0,4,8,True,True,False,0.0,1,1.0
1,8,0.0,0.0,0.0,5.0,-1.0,4,8,True,True,False,6.0,2,4.0
1,7,0.0,3.0,3.0,6.0,0.0,4,8,True,True,False,0.0,0,0.0
2,27,0.0,0.0,0.0,7.0,-1.0,4,8,True,True,False,0.0,1,1.0
1,4,0.0,0.0,2.0,5.0,0.0,4,8,True,True,False,0.0,0,0.0
3,54,0.0,3.0,3.0,9.0,0.0,4,8,True,True,False,0.0,0,0.0
1,16,0.0,0.0,0.0,10.0,-1.0,4,8,True,True,False,18.0,2,16.0
1,11,0.0,2.0,2.0,10.0,0.0,4,8,True,True,False,0.0,0,0.0
2,33,0.0,0.0,0.0,5.0,-1.0,4,8,True,True,False,0.0,1,1.0
3,79,0.0,0.0,0.0,8.0,-1.0,4,8,True,True,False,0.0,1,1.0
3,59,0.0,0.0,0.0,8.0,-1.0,4,8,True,True,False,0.0,1,1.0
1,22,0.0,0.0,0.0,8.0,-1.0,4,8,True,True,False,0.0,2,2.0
3,61,0.0,0.0,0.0,5.0,-1.0,4,8,True,True,False,0.0,1,1.0
1,9,0.0,0.0,1.0,11.0,0.0,4,8,True,True,False,0.0,0,0.0
1,20,0.0,2.0,2.0,26.0,0.0,4,8,True,True,False,0.0,0,0.0
1,5,0.0,1.0,1.0,6.0,0.0,4,8,True,True,False,0.0,0,0.0
2,40,0.0,0.0,0.0,2.0,-1.0,4,8,True,True,False,0.0,1,1.0
1,4,0.0,2.0,2.0,5.0,0.0,5,8,True,True,False,0.0,0,0.0
2,25,0.0,0.0,0.0,5.0,-1.0,5,8,True,True,False,0.0,1,1.0
3,77,0.0,0.0,0.0,4.0,-1.0,5,8,True,True,False,10.0,1,9.0
1,11,0.0,0.0,0.0,10.0,-1.0,5,8,True,True,False,0.0,2,2.0
1,16,18.0,0.0,18.0,28.0,8.0,5,8,True,True,False,0.0,0,0.0
1,22,0.0,0.0,0.0,8.0,-1.0,5,8,True,True,False,0.0,2,2.0
1,20,0.0,0.0,0.0,24.0,-1.0,5,8,True,True,False,0.0,2,2.0
3,78,0.0,0.0,3.0,7.0,0.0,5,8,True,True,False,0.0,1,1.0
3,74,0.0,0.0,0.0,4.0,-1.0,5,8,True,True,False,0.0,1,1.0
2,33,0.0,0.0,0.0,5.0,-1.0,5,8,True,True,False,0.0,1,1.0
1,9,0.0,1.0,1.0,11.0,0.0,5,8,True,True,False,0.0,0,0.0
1,8,6.0,0.0,6.0,11.0,5.0,5,8,True,True,False,0.0,0,0.0
3,66,0.0,0.0,0.0,3.0,0.0,5,8,True,False,True,0.0,2,2.0
2,40,0.0,0.0,0.0,2.0,-1.0,5,8,True,True,False,0.0,1,1.0
1,7,0.0,0.0,0.0,6.0,-1.0,5,8,True,True,False,0.0,2,2.0
1,17,0.0,0.0,0.0,23.0,-1.0,5,8,True,True,False,0.0,2,2.0
3,53,0.0,0.0,0.0,4.0,0.0,5,8,True,False,True,0.0,2,2.0
3,54,0.0,0.0,0.0,9.0,-1.0,5,8,True,True,False,0.0,1,1.0
1,5,0.0,0.0,0.0,6.0,-1.0,5,8,True,True,False,0.0,2,2.0
1,1,0.0,0.0,0.0,3.0,-1.0,5,8,True,True,False,0.0,2,2.0
3,59,0.0,0.0,0.0,8.0,-1.0,5,8,True,True,False,0.0,1,1.0
3,61,0.0,0.0,0.0,5.0,-1.0,5,8,True,True,False,0.0,1,1.0
3,65,0.0,0.0,0.0,5.0,-1.0,5,8,True,True,False,0.0,1,1.0
2,27,0.0,0.0,0.0,7.0,-1.0,5,8,True,True,False,0.0,2,2.0
3,79,0.0,0.0,0.0,8.0,-1.0,5,8,True,True,False,0.0,1,1.0
